timestamp,tvlUsd,apy,apyBase,apyReward,il7d,apyBase7d
2025-01-14T23:01:13.676Z,30959407039.0,2.984,2.984,,,
2024-11-18T23:01:32.594Z,30945709395.0,2.915,2.915,,,
2025-01-09T23:01:09.363Z,30890782392.0,2.954,2.954,,,
2024-04-28T23:03:07.662Z,30888607086.0,2.942,2.942,,,
2024-11-16T23:01:32.978Z,30864520874.0,3.027,3.027,,,
2024-07-13T23:04:38.545Z,30746685796.0,2.901,2.901,,,
2024-07-04T23:02:38.524Z,30575326637.0,3.401,3.401,,,
2024-02-25T23:02:01.690Z,30502625248.0,3.148,3.148,,,
2024-11-09T23:01:52.294Z,30478858199.0,3.103,3.103,,,
2024-11-19T23:01:52.763Z,30310831925.0,3.033,3.033,,,
2024-11-14T23:01:41.809Z,30289196741.0,3.524,3.524,,,
2024-04-27T23:01:20.388Z,30259833329.0,3.004,3.004,,,
2024-07-12T23:03:09.163Z,30256851311.0,3.055,3.055,,,
2024-04-12T23:01:31.665Z,30223893379.0,3.146,3.146,,,
2024-11-15T23:01:26.309Z,30204008073.0,3.218,3.218,,,
2024-11-17T23:01:33.013Z,30155667996.0,2.923,2.923,,,
2025-01-27T23:02:13.567Z,30149637527.0,3.075,3.075,,,
2024-11-20T23:01:28.309Z,30113280218.0,3.033,3.033,,,
2024-07-10T23:01:16.617Z,30098156877.0,3.051,3.051,,,
2024-07-11T23:01:16.971Z,30083038990.0,2.999,2.999,,,
2024-04-23T23:01:37.517Z,30004411402.0,3.098,3.098,,,
2025-01-13T23:02:34.228Z,29926823038.0,3.113,3.113,,,
2024-04-22T23:01:15.493Z,29906775524.0,3.058,3.058,,,
2024-04-29T23:01:22.075Z,29863072008.0,3.031,3.031,,,
2024-07-06T23:01:13.293Z,29829267656.0,3.033,3.033,,,
2025-01-29T23:01:14.947Z,29817112754.0,2.799,2.799,,,
2024-04-25T23:02:09.251Z,29750078559.0,3.293,3.293,,,
2024-07-09T23:03:08.922Z,29708773971.0,2.969,2.969,,,
2025-02-01T23:01:12.912Z,29708656417.0,2.825,2.825,,,
2024-04-14T23:06:19.074Z,29603525849.0,4.436,4.436,,,
2024-08-02T23:01:37.574Z,29510514082.0,3.005,3.005,,,
2024-04-20T23:05:07.235Z,29433218852.0,3.173,3.173,,,
2024-04-26T23:01:39.057Z,29399844844.0,3.058,3.058,,,
2024-04-24T23:01:25.570Z,29366085501.0,3.742,3.742,,,
2024-04-21T23:01:23.346Z,29335706943.0,2.94,2.94,,,
2024-07-08T23:01:28.375Z,29320772502.0,2.92,2.92,,,
2025-01-28T23:01:28.580Z,29300827813.0,2.906,2.906,,,
2024-02-24T23:03:57.623Z,29277853064.0,3.467,3.467,,,
2024-05-05T23:01:21.324Z,29277399792.0,2.829,2.829,,,
2024-02-20T23:03:23.985Z,29251788734.0,3.363,3.363,,,
2024-02-22T23:02:38.485Z,29230175612.0,3.468,3.468,,,
2024-05-04T23:01:57.188Z,29190217620.0,2.999,2.999,,,
2024-05-18T23:01:31.323Z,29119269053.0,2.776,2.776,,,
2024-11-08T23:01:30.834Z,29086536614.0,3.031,3.031,,,
2024-02-19T23:02:06.916Z,29065348699.0,3.263,3.263,,,
2024-05-03T23:01:57.529Z,29054286667.0,2.934,2.934,,,
2024-04-16T23:01:52.586Z,29035947410.0,3.551,3.551,,,
2024-04-15T23:01:34.855Z,29020898814.0,3.101,3.101,,,
2024-07-05T23:03:00.373Z,28946851048.0,4.085,4.085,,,
2024-05-17T23:01:23.392Z,28917923715.0,2.906,2.906,,,
2024-02-23T23:03:19.249Z,28829373369.0,3.415,3.415,,,
2024-05-06T23:01:59.335Z,28826959941.0,2.887,2.887,,,
2024-04-19T23:01:38.013Z,28811666039.0,3.295,3.295,,,
2024-07-07T23:01:22.567Z,28707713574.0,2.836,2.836,,,
2024-04-18T23:01:46.970Z,28674723530.0,3.237,3.237,,,
2024-02-21T23:02:41.466Z,28614502893.0,3.466,3.466,,,
2024-05-19T23:01:12.768Z,28579330260.0,2.853,2.853,,,
2024-08-03T23:02:00.688Z,28571203677.0,3.049,3.049,,,
2024-05-07T23:03:17.216Z,28483572707.0,2.922,2.922,,,
2024-05-09T23:01:29.081Z,28263829653.0,2.91,2.91,,,
2024-05-15T23:02:08.815Z,28237127744.0,2.997,2.997,,,
2024-04-17T23:01:24.573Z,28211076305.0,3.191,3.191,,,
2024-05-02T23:01:54.411Z,28080831828.0,3.103,3.103,,,
2024-11-07T23:02:30.956Z,28021205364.0,3.002,3.002,,,
2024-02-18T23:02:45.643Z,27997797029.0,3.127,3.127,,,
2024-04-30T23:02:01.096Z,27877082840.0,3.046,3.046,,,
2024-05-08T23:04:45.590Z,27771200544.0,2.955,2.955,,,
2024-05-01T23:01:41.097Z,27684411734.0,3.31,3.31,,,
2024-05-13T23:01:37.641Z,27635739808.0,2.888,2.888,,,
2024-04-13T23:01:16.411Z,27507790373.0,4.31,4.31,,,
2024-05-16T23:01:13.790Z,27494295812.0,3.043,3.043,,,
2024-05-12T23:01:19.899Z,27368608800.0,2.812,2.812,,,
2024-08-23T23:02:40.420Z,27343519292.0,2.744,2.744,,,
2024-05-11T23:02:18.276Z,27325475523.0,2.894,2.894,,,
2024-02-15T23:02:56.881Z,27309705308.0,3.279,3.279,,,
2024-02-17T23:02:44.752Z,27294369118.0,3.126,3.126,,,
2024-02-16T23:03:36.941Z,27263988634.0,3.778,3.778,,,
2024-08-25T23:01:36.357Z,27231964611.0,2.715,2.715,,,
2024-05-10T23:01:37.775Z,27131548445.0,2.934,2.934,,,
2025-02-02T23:01:22.131Z,27113145524.0,2.768,2.768,,,
2024-05-14T23:01:25.800Z,27107555090.0,3.087,3.087,,,
2024-02-14T23:02:12.734Z,27049017481.0,3.562,3.562,,,
2025-02-03T23:02:38.277Z,27033316297.0,11.773,11.773,,,
2024-08-24T23:01:17.254Z,26912370857.0,2.825,2.825,,,
2024-08-04T23:02:04.239Z,26863039524.0,2.925,2.925,,,
2024-08-13T23:02:36.920Z,26677412367.0,3.016,3.016,,,
