snapped_at,price,market_cap,total_volume
2024-04-19 00:00:00 UTC,2.5402698699159476,0.0,15535833.248571346
2024-04-20 00:00:00 UTC,2.5626428542661297,0.0,29471664.4152321
2024-04-21 00:00:00 UTC,2.5750792043185,0.0,15175629.322633633
2024-04-22 00:00:00 UTC,2.580212392692053,0.0,13393684.689314304
2024-04-23 00:00:00 UTC,2.597394554167116,0.0,17197695.822455235
2024-04-24 00:00:00 UTC,2.604378161968001,0.0,17247519.00003435
2024-04-25 00:00:00 UTC,2.6079783004944543,0.0,18996518.561151255
2024-04-26 00:00:00 UTC,2.6004746965825145,0.0,16713893.646439776
2024-04-27 00:00:00 UTC,2.5852622372076084,0.0,10964558.009481138
2024-04-28 00:00:00 UTC,2.6080594991722936,0.0,9810716.638987923
2024-04-29 00:00:00 UTC,2.5874108734647283,0.0,11569218.045307864
2024-04-30 00:00:00 UTC,2.588334579465487,0.0,10930516.492291663
2024-05-01 00:00:00 UTC,2.5557496389791607,0.0,16348795.545442617
2024-05-02 00:00:00 UTC,2.5841579301383844,0.0,21227807.13570123
2024-05-03 00:00:00 UTC,2.597241501914719,0.0,23904593.08856778
2024-05-04 00:00:00 UTC,2.6475956713536384,0.0,19878097.111891076
2024-05-05 00:00:00 UTC,2.668095104185573,0.0,11660819.566585531
2024-05-06 00:00:00 UTC,2.6755671351435524,0.0,8853108.474421619
2024-05-07 00:00:00 UTC,2.6952242514359517,0.0,30805498.18377799
2024-05-08 00:00:00 UTC,2.670563279043414,0.0,19309323.89151051
2024-05-09 00:00:00 UTC,2.661328013243242,0.0,14887775.695498848
2024-05-10 00:00:00 UTC,2.7189848353741763,0.0,12943976.32637828
2024-05-11 00:00:00 UTC,2.6786535831059557,0.0,14854734.55819581
2024-05-12 00:00:00 UTC,2.672398349443241,0.0,10124392.028609037
2024-05-13 00:00:00 UTC,2.669004333957374,0.0,6405294.806242601
2024-05-14 00:00:00 UTC,2.6891379344891173,0.0,14233428.74158402
2024-05-15 00:00:00 UTC,2.6638001454608577,0.0,15458128.784845369
2024-05-16 00:00:00 UTC,2.7698541140041466,0.0,24721799.098839752
2024-05-17 00:00:00 UTC,2.7642111151234396,0.0,27428680.260595255
2024-05-18 00:00:00 UTC,2.825281626080536,0.0,18452975.96617204
2024-05-19 00:00:00 UTC,2.8400035120079163,0.0,11929434.06920574
2024-05-20 00:00:00 UTC,2.819298909994826,0.0,13114208.673597297
2024-05-21 00:00:00 UTC,2.9432459720068316,0.0,32595385.21857655
2024-05-22 00:00:00 UTC,2.9247821621565397,0.0,24413943.633611564
2024-05-23 00:00:00 UTC,2.9262654153198393,0.0,19963303.45429329
2024-05-24 00:00:00 UTC,2.9315212650267854,0.0,31748813.770891845
2024-05-25 00:00:00 UTC,2.9081084338221985,0.0,16009637.819119649
2024-05-26 00:00:00 UTC,2.9225621091019076,0.0,7761746.111885232
2024-05-27 00:00:00 UTC,2.8895242710257385,0.0,16213950.285088697
2024-05-28 00:00:00 UTC,2.916613922223812,0.0,23157199.262308575
2024-05-29 00:00:00 UTC,2.935657640828848,0.0,30366229.15108921
2024-05-30 00:00:00 UTC,2.9051399773084534,0.0,23466419.79263556
2024-05-31 00:00:00 UTC,2.9169305857933683,0.0,24260319.49300036
2024-06-01 00:00:00 UTC,2.9281431208160953,0.0,19963791.72006959
2024-06-02 00:00:00 UTC,2.927744585127036,0.0,12237887.382097542
2024-06-03 00:00:00 UTC,2.9337873853342997,0.0,11044546.975999236
2024-06-04 00:00:00 UTC,2.923593475953915,0.0,25684140.364115447
2024-06-05 00:00:00 UTC,2.9257170569576836,0.0,28104534.466183204
2024-06-06 00:00:00 UTC,2.9361559138026343,0.0,19177288.68436273
2024-06-07 00:00:00 UTC,2.936887229979068,0.0,25667146.810299203
