date,totalLiquidityUSD
2024-03-18 00:00:00,7588994810.27143
2024-03-19 00:00:00,7211185297.28151
2024-03-20 00:00:00,6568203598.02837
2024-03-21 00:00:00,7118112122.63399
2024-03-22 00:00:00,6798785644.25715
2024-03-23 00:00:00,6317912067.74557
2024-03-24 00:00:00,6434700029.46163
2024-03-25 00:00:00,6657405224.91506
2024-03-26 00:00:00,6844485577.27271
2024-03-27 00:00:00,6823597916.38343
2024-03-28 00:00:00,6592615261.43091
2024-03-29 00:00:00,6726297198.01031
2024-03-30 00:00:00,6568853993.20784
2024-03-31 00:00:00,6528577241.14609
2024-04-01 00:00:00,6732948855.18688
2024-04-02 00:00:00,6523499622.52822
2024-04-03 00:00:00,6264511911.04543
2024-04-04 00:00:00,6298747780.29974
2024-04-05 00:00:00,6322370476.03986
2024-04-06 00:00:00,6435449718.85641
2024-04-07 00:00:00,6553409955.49525
2024-04-08 00:00:00,6602897555.74946
2024-04-09 00:00:00,6648688852.62295
2024-04-10 00:00:00,6254151800.06444
2024-04-11 00:00:00,6291760883.35853
2024-04-12 00:00:00,6309346444.86402
2024-04-13 00:00:00,5804358359.70412
2024-04-14 00:00:00,5512755916.51543
2024-04-15 00:00:00,5825538906.6135
2024-04-16 00:00:00,5713920325.62341
2024-04-17 00:00:00,5857145526.56201
2024-04-18 00:00:00,5609123729.99163
2024-04-19 00:00:00,5809464500.82863
2024-04-20 00:00:00,5686594799.81677
2024-04-21 00:00:00,5830881917.19939
2024-04-22 00:00:00,5867872878.60604
2024-04-23 00:00:00,6011542467.05876
2024-04-24 00:00:00,6046196187.63909
2024-04-25 00:00:00,5871166354.7451
2024-04-26 00:00:00,5930208838.70231
2024-04-27 00:00:00,5913650582.21627
2024-04-28 00:00:00,6124088025.82619
2024-04-29 00:00:00,6201923813.62766
2024-04-30 00:00:00,5993588590.64243
2024-05-01 00:00:00,5612575044.57005
2024-05-02 00:00:00,5524892909.08655
2024-05-03 00:00:00,5469517475.21759
2024-05-04 00:00:00,5698220418.4042
2024-05-05 00:00:00,5830270616.14542
2024-05-06 00:00:00,5882762891.3649
2024-05-07 00:00:00,5681393566.04946
2024-05-08 00:00:00,5602463325.41606
2024-05-09 00:00:00,5373313185.98375
2024-05-10 00:00:00,5405740922.76619
2024-05-11 00:00:00,5259618583.63654
2024-05-12 00:00:00,5304932581.66545
2024-05-13 00:00:00,5306637014.07292
2024-05-14 00:00:00,5335759821.26651
2024-05-15 00:00:00,5226681670.42322
2024-05-16 00:00:00,5465371087.19822
2024-05-17 00:00:00,5309474487.93254
2024-05-18 00:00:00,5559424816.08937
2024-05-19 00:00:00,5642353879.10544
2024-05-20 00:00:00,5602613094.9118
2024-05-21 00:00:00,6269557858.64538
2024-05-22 00:00:00,6341999819.19167
2024-05-23 00:00:00,6586629596.05753
2024-05-24 00:00:00,6598835812.32471
2024-05-25 00:00:00,6488202329.64633
2024-05-26 00:00:00,6498515619.34339
2024-05-27 00:00:00,6631215800.51317
2024-05-28 00:00:00,6645392651.32027
2024-05-29 00:00:00,6558590309.28791
2024-05-30 00:00:00,6573135167.88342
2024-05-31 00:00:00,6541711883.095
2024-06-01 00:00:00,6531119115.54621
2024-06-02 00:00:00,6454713260.0844
2024-06-03 00:00:00,6388709007.01655
2024-06-04 00:00:00,6328075402.18373
2024-06-05 00:00:00,6408052181.36472
2024-06-06 00:00:00,6618459872.45057
2024-06-07 00:00:00,6516960311.92625
2024-06-08 00:00:00,6294927130.95217
2024-06-09 00:00:00,6252879409.80895
2024-06-10 00:00:00,6308215838.4563
2024-06-11 00:00:00,6262461299.22577
2024-06-12 00:00:00,5978032902.89206
2024-06-13 00:00:00,6143672337.27527
2024-06-14 00:00:00,6052474821.09631
2024-06-15 00:00:00,5998203157.26516
2024-06-16 00:00:00,6147857434.07194
2024-06-17 00:00:00,6200339546.88561
2024-06-18 00:00:00,6086353094.74796
2024-06-19 00:00:00,6120295669.96491
2024-06-20 00:00:00,6203130946.32191
2024-06-21 00:00:00,6128999530.52833
2024-06-22 00:00:00,6104442393.95783
2024-06-23 00:00:00,6117360951.56165
2024-06-24 00:00:00,6021159952.97469
2024-06-25 00:00:00,5832354196.24484
2024-06-26 00:00:00,5950537051.09823
2024-06-27 00:00:00,5914680054.55509
2024-06-28 00:00:00,5844153524.41558
2024-06-29 00:00:00,5706042381.99791
2024-06-30 00:00:00,5715576660.90432
2024-07-01 00:00:00,5748897925.20809
2024-07-02 00:00:00,5867710326.37423
2024-07-03 00:00:00,5774589634.11126
2024-07-04 00:00:00,5584600435.3503
2024-07-05 00:00:00,5396622632.44917
2024-07-06 00:00:00,5237414145.40948
2024-07-07 00:00:00,5496763160.98007
2024-07-08 00:00:00,5067094184.94061
2024-07-09 00:00:00,5074319282.25865
2024-07-10 00:00:00,5127716385.2525
2024-07-11 00:00:00,5196978159.49666
2024-07-12 00:00:00,5231429898.07154
2024-07-13 00:00:00,5286552134.33744
2024-07-14 00:00:00,5402991569.85555
2024-07-15 00:00:00,5557751507.84344
2024-07-16 00:00:00,5847908014.59861
2024-07-17 00:00:00,5821462604.27302
2024-07-18 00:00:00,5737560428.29071
2024-07-19 00:00:00,5721772070.57164
2024-07-20 00:00:00,5901219177.83633
2024-07-21 00:00:00,6005709948.2909
2024-07-22 00:00:00,6008291425.68041
2024-07-23 00:00:00,5788794600.71042
2024-07-24 00:00:00,5886177251.35923
2024-07-25 00:00:00,5662043947.40305
2024-07-26 00:00:00,5409114642.80125
2024-07-27 00:00:00,5534928545.48847
2024-07-28 00:00:00,5571759824.72639
2024-07-29 00:00:00,5549783469.48376
2024-07-30 00:00:00,5762308668.30199
2024-07-31 00:00:00,5684589721.79813
2024-08-01 00:00:00,5595056780.85269
2024-08-02 00:00:00,5495131701.5968
2024-08-03 00:00:00,5249764092.01061
2024-08-04 00:00:00,5120279402.07576
2024-08-05 00:00:00,4904629177.08155
2024-08-06 00:00:00,4486209417.58621
2024-08-07 00:00:00,4632847318.07139
2024-08-08 00:00:00,4411861537.97849
2024-08-09 00:00:00,4801879448.29554
2024-08-10 00:00:00,4808279752.07969
2024-08-11 00:00:00,4831780476.25629
2024-08-12 00:00:00,4745984180.87517
2024-08-13 00:00:00,4921331802.94879
2024-08-14 00:00:00,4993415369.11463
2024-08-15 00:00:00,4947468678.28098
2024-08-16 00:00:00,4794007125.2158
2024-08-17 00:00:00,4847459346.67391
2024-08-18 00:00:00,4897466097.41152
2024-08-19 00:00:00,4912254946.79166
2024-08-20 00:00:00,4960062049.5999
2024-08-21 00:00:00,4865961152.82035
2024-08-22 00:00:00,4951917396.56167
2024-08-23 00:00:00,4919290773.47737
2024-08-24 00:00:00,5159464442.36455
2024-08-25 00:00:00,5162078489.32892
2024-08-26 00:00:00,5114630050.29523
2024-08-27 00:00:00,4967436528.0887
2024-08-28 00:00:00,4643082700.69169
2024-08-29 00:00:00,4717986945.16863
2024-08-30 00:00:00,4736908096.12922
2024-08-31 00:00:00,4717521574.73232
2024-09-01 00:00:00,4700124641.87576
2024-09-02 00:00:00,4576757492.48569
2024-09-03 00:00:00,4761190371.33965
2024-09-04 00:00:00,4579455162.86537
2024-09-05 00:00:00,4953156524.81854
2024-09-06 00:00:00,5260141958.45715
2024-09-07 00:00:00,5069695419.46762
2024-09-08 00:00:00,5200734033.31226
2024-09-09 00:00:00,5245802111.01888
2024-09-10 00:00:00,5299148056.35491
2024-09-11 00:00:00,5362894924.8566
2024-09-12 00:00:00,5309572635.43443
2024-09-13 00:00:00,5449384580.28004
2024-09-14 00:00:00,5620236330.88094
2024-09-15 00:00:00,5608698914.07311
2024-09-16 00:00:00,5449015788.79076
2024-09-17 00:00:00,5363530049.64633
2024-09-18 00:00:00,5515009122.50532
2024-09-19 00:00:00,5600539769.91532
2024-09-20 00:00:00,5733894601.95667
2024-09-21 00:00:00,6013005419.58846
2024-09-22 00:00:00,6093108024.03129
2024-09-23 00:00:00,6073933557.77477
2024-09-24 00:00:00,6144945093.4774
2024-09-25 00:00:00,6102429362.8908
2024-09-26 00:00:00,5988989304.98103
2024-09-27 00:00:00,6179645416.12113
2024-09-28 00:00:00,6225296540.15657
2024-09-29 00:00:00,6225898712.53019
2024-09-30 00:00:00,6210298771.36917
2024-10-01 00:00:00,6101129069.62261
2024-10-02 00:00:00,6221947279.18054
2024-10-03 00:00:00,5962074997.49702
2024-10-04 00:00:00,5881168337.26837
2024-10-05 00:00:00,5947165425.0292
2024-10-06 00:00:00,5927777480.3628
2024-10-07 00:00:00,5967812989.45114
2024-10-08 00:00:00,5897790454.96462
2024-10-09 00:00:00,5816178067.8282
2024-10-10 00:00:00,5615882605.60967
2024-10-11 00:00:00,5560331340.22053
2024-10-12 00:00:00,5741773811.75249
